airline_id,airline_code,airline_name,check_in_link,check_in_time
815,5W,Wizz Air,,0
949,5X,UPS,,0
140,5Y,Atlas Air,,0
839,5Z,CemAir,https://www.cemair.co.za/index.php?checkin=true,24
141,6A,Armenia Airways,,0
6,6B,TUIfly Nordic,,0
1075,6C,Air Timor,,0
322,6D,Travel Service Slovensko,,0
674,6E,IndiGo,https://www.goindigo.in/web-check-in.html,48
112,6G,Sun Air Express,,0
692,6H,Israir Airlines,,0
661,6I,Air Alsie,,0
1118,6J,Solaseed Air,,0
499,6K,Air Anka,,0
992,6L,Aklak Air,,0
852,6M,Zacarias Moreno,,0
405,6N,Niger Airlines,,0
942,6O,Orbest,,0
283,6R,Alrosa,https://booking.alrosa.aero/web-chekin/?lang=en#search,24
232,6T,Air Mandalay,,0
381,6U,Air Cargo Germany,,0
738,6V,AVANZA,,0
948,6W,FlyBosnia,,0
153,6Y,SmartLynx Airlines,,0
906,6Z,Euro-Asia Air,,0
1094,7A,Air Jet,,0
466,7B,Bees Airline,,0
1098,7C,Jeju Air,https://wcc.jejuair.net/en/ibe/checkin/viewCheckin.do,48
1119,7D,Maluti Sky,,0
567,7E,Sylt Air GmbH,,0
92,7F,First Air,,0
163,7G,StarFlyer,,0
967,7H,Ravn Alaska,,0
1090,7I,Insel Air,,0
791,7J,Tajik Air,,0
862,7K,MetroJet,,0
289,7L,Aerocaribbean,,0
848,7M,MAYAir,,0
194,7N,Pan American World Airways,,0
529,7O,Travel Service,,0
1093,7P,Air Panama,https://wc2-7p.kiusys.net/,24
613,7Q,Elite Airways,,0
518,7R,RusLine,https://ticket.rusline.aero/websky-check-in/?lang=en#search,24
999,7S,Ryan Air Service,,0
678,7T,Trenitalia,,0
279,7U,Alpha Air Transport,,0
11,7V,Federal Air,,0
383,7W,Windrose Airlines,,0
686,7Y,Mann Yadanarpon Airlines,,0
901,7Z,Halcyonair,,0
960,86,Up Israel,,0
12,8A,Panama Airways,,0
335,8B,TransNusa,,0
859,8C,Air Transport International L.L.C.,,0
1006,8D,FITS Air,,0
462,8E,Bering Air,,0
619,8F,STP Airways,,0
944,8G,Aero Dili,,0
43,8H,BH Air,,0
743,8I,Insel Air,,0
130,8J,EcoJet,,0
639,8K,K-Mile Air Co. Ltd,,0
453,8L,Lucky Air,,0
1052,8M,Myanmar Airways International,,0
956,8N,Regional Air Services,,0
719,8P,Pacific Coastal Airlines,,0
891,8Q,Onur Air,,0
898,8R,Sol Lineas Aereas,,0
446,8S,TurboJET,,0
450,8T,Air Tindi,,0
42,8U,Afriqiyah Airways,,0
894,8V,Wright Air Service,,0
975,8W,Fly All Ways,,0
688,9A,Eaglexpress Air Charter Sdn.Bhd.dbaEaglexpress Air,,0
53,9B,AccesRail,,0
197,9C,Spring Airlines,,0
451,9E,Endeavor Air,https://www.delta.com/PCCOciWeb/findBy.action,24
669,9F,Eurostar,,0
260,9G,9G Rail,,0
344,9H,Chang An Airlines,,0
459,9I,Alliance Air,,0
296,9J,Dana Airlines Limited,,0
1007,9K,Cape Air,https://checkin.si.amadeus.net/static/PRD/9K/#/checkindirect?IFormOfIdentification=PNR&IGroupTravel=off&IIdentification={PNR}&ISurname={LAST}&ln=en,24
895,9L,West Link Airlines,,0
782,9M,Central Mountain Air,,0
169,9N,Tropic Air Limited,,0
648,9P,Air Arabia Jordan,,0
253,9Q,Caicos Express Airways,,0
1000,9R,Southern Air,,0
326,9S,Air Samarkand,,0
1002,9T,ACT Havayollari A.S.,,0
527,9U,Air Moldova,,0
824,9V,Avior Airlines,,0
937,9W,Jet Airways,https://selfservice.jetairways.com/MCI/mci,24
1082,9X,Executive Express Aviation LLC dbaSouthern Airways,,0
590,A1,A.P.G. Distribution System,,0
238,A2,Animawings,,0
71,A3,Aegean Airlines,https://checkin.si.amadeus.net/1ASIHSSCWEBA3/sscwa3/checkindirect?ln=en&IFormOfIdentification=PNR&IIdentification={PNR}&ISurname={LAST},24
212,A4,Azimuth,,0
26,A5,HOP!,https://wwws.airfrance.co.uk/check-in,30
393,A6,Air Alps Aviation,,0
33,A7,Air Niamey,,0
647,A8,Aerolink Uganda Limited,,0
13,A9,Georgian Airways,,0
418,AA,American Airlines,,0
550,AB,Bonza,,0
10,AC,Air Canada,https://www.aircanada.com/uk/en/aco/home/ssci.html?lastName={LAST}&staffNumber={PNR},24
280,AD,Azul Brazilian Airlines,https://www.voeazul.com.br/us/en/home/azulwebcheckin?pnr={PNR}&origin={IATA_DEP},48
96,AE,Mandarin Airlines,,0
549,AF,Air France,https://wwws.airfrance.co.uk/check-in,30
813,AG,Aruba Airlines,,0
699,AH,Air Algerie,https://checkin.si.amadeus.net/static/PRD/AH/#/checkindirect?IFormOfIdentification=PNR&IIdentification={PNR}&ISurname={LAST}&ln=en,24
828,AI,Air India,https://travel.airindia.in/ssci/identification,48
307,AJ,Aztec Airways,,0
761,AK,AirAsia,https://www.airasia.com/check-in/v2/en/gb,24
327,AL,Malta Air,,0
772,AM,Aeromexico,https://aeromexico.com/en-us/check-in?last-name={LAST}&pnr={PNR},24
548,AN,HOP!,,0
215,AO,Australian Airlines,,0
710,AP,AlbaStar,,0
214,AQ,9 Air,http://9air.com/en-US/ticketValidate,24
968,AR,Aerolineas Argentinas,https://checkin.aerolineas.com.ar/dx/ARCI/#/check-in/deep-link?deepLink=true&locale=en-US&recordLocator={PNR}&lastName={LAST},24
206,AS,Alaska Airlines,https://webselfservice.alaskaair.com/checkinweb/findreservation.aspx?cmd=startapplication&language=en_US,24
204,AT,Royal Air Maroc,https://checkin.si.amadeus.net/static/PRD/AT/#/checkindirect?IIdentificationBookingRef={PNR}&ISurname={LAST}&ln=en,48
293,AU,Austral Lineas Aereas,,0
152,AV,Avianca,https://checkin.si.amadeus.net/1ASIHSSCMCIAV/sscmav/checkindirect?ln=en&IFormOfIdentification=PNR&IIdentification={PNR}&ISurname={LAST},24
80,AW,Africa World Airlines,,0
79,AX,Trans States Airlines,,0
3,AY,Finnair,https://checkin.si.amadeus.net/static/PRD/AY/#/checkindirect?IIdentificationBookingRef={PNR}&ISurname={LAST}&ln=gb,36
305,AZ,ITA Airways,https://fly.ita-airways.com/ssci/identification?lang=EN&pointOfSale=EU&identifier={PNR}&lastName={LAST},24
579,B0,La Compagnie,,0
520,B1,TAB - Transportes Aéreos Bolivianos,,0
210,B2,Belavia,https://tickets.belavia.by/wci/?lang=en#/search,24
559,B3,Bhutan Airlines,,0
493,B4,be0nd,,0
671,B5,East African Safari Air,,0
760,B6,JetBlue Airways,https://mobilecheckin.jetblue.com/checkin/check-in,24
268,B7,Uni Air,https://www.uniair.com.tw/rwd/B2C/service/checkin/uck_login.aspx,24
375,B8,Eritrean Airlines,,0
36,B9,Iran Airtour,,0
175,BA,British Airways,https://www.britishairways.com/travel/olcilandingpageauthreq/public/en_gb/device-mobile,24
75,BB,Seaborne Airlines,,0
555,BC,Skymark Airlines,,0
700,BE,Flybe,,0
712,BF,French Bee,https://checkin.si.amadeus.net/static/PRD/BF/#/checkindirect?ISurname={LAST}&IFormOfIdentification=PNR&IIdentification={PNR}&ln=EN&lang=EN,24
807,BG,Biman Bangladesh Airlines,https://checkin.biman-airlines.com/dx/BGCI/#/check-in/deep-link?deepLink=true&locale=en-US&recordLocator={PNR}&lastName={LAST},24
932,BH,Hawkair,,0
844,BI,Royal Brunei,https://book-royalbrunei.crane.aero/ibe/checkin/search?PNRNo={PNR}&surname={LAST}&lang=en&agree=on,48
985,BJ,Nouvelair,,0
687,BK,Okay Airways,,0
49,BL,Jetstar Pacific Airlines,https://booking.vietnamairlines.com/ssci/identification?lang=en-GB,24
1084,BM,BMI Regional,,0
189,BN,Luxwing,,0
304,BO,BB Airways,,0
387,BP,Air Botswana,,0
962,BQ,SkyAlps,,0
522,BR,Eva Air,https://booking.evaair.com/flyeva/eva/b2c/manage-your-trip/online-checked-in-login.aspx?lang=en-gb,24
119,BS,US-Bangla Airlines,,0
1059,BT,airBaltic,https://book.airbaltic.com/en/checkin/upsell?action2=upsell&ck_pnr={PNR}&ck_lastname={LAST},24
764,BU,Compagnie Africaine d'Aviation,,0
222,BV,Toki Air,,0
482,BW,Caribbean Airlines,https://checkin.si.amadeus.net/static/PRD/BW/#/checkindirect?ISurname={LAST}&IFormOfIdentification=PNR&IIdentification={PNR}&ln=en,24
334,BX,Air Busan,https://men.airbusan.com/mw/checkin/checkinList,48
407,BY,Thomson Airways,https://flightextras.tui.co.uk/#page,24
124,BZ,Blue Bird Airways,,0
273,C1,Tectimes Sudamerica,,0
1034,C2,CEIBA Intercontinental,,0
207,C3,Trade Air,,0
882,C4,Conquest Air, Inc.,,0
251,C5,CommutAir,,0
601,C6,Centrum Air,,0
1044,C7,Cinnamon Air,,0
976,C8,Cronos Airlines,,0
374,CA,Air China,https://m.airchina.com.cn/ac/c/invoke/qryCheckInsNoLogin@pg,24
526,CB,Caribbean Air Export Import Inc.,,0
1079,CC,Air Atlanta,,0
1031,CD,Corendon Dutch Airlines,,0
649,CE,Chalair Aviation,,0
265,CF,China Postal Airlines Ltd.,,0
981,CG,Airlines PNG,,0
514,CH,Bemidji Airlines,,0
547,CI,China Airlines,https://calec.china-airlines.com/eCheckin/eCheckin_home.aspx?country=us&locale=en,48
633,CJ,BA Cityflyer,,0
442,CK,China Cargo Airlines,,0
259,CL,Lufthansa CityLine,https://www.lufthansa.com/us/en/online-check-in,24
871,CM,Copa Airlines,https://checkin.copaair.com/check-in/{PNR}/{LAST}/en,24
98,CN,Grand China Air,,0
988,CO,Cobalt Air,,0
1081,CP,Compass Airlines,,0
